FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,3 0,0,9184,Supervising Investigator - IPRA,Annual,4,1,82524.00,330096.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 14,3,9183,Investigator I - IPRA,Annual,1,1,65808.00,65808.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 14,3,9183,Investigator I - IPRA,Annual,1,1,69648.00,69648.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,1,1,65808.00,65808.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,1,1,83832.00,83832.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,1,1,100944.00,100944.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,2,1,62832.00,125664.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,2,1,68952.00,137904.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,2,1,76428.00,152856.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,2,1,91980.00,183960.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,4,1,72192.00,288768.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,6,1,59976.00,359856.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 15,3,9182,Investigator II- IPRA,Annual,7,1,79992.00,559944.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,1,1,75660.00,75660.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,1,1,79212.00,79212.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,2,1,65808.00,131616.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,2,1,96384.00,192768.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,3,1,83832.00,251496.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,3,1,87864.00,263592.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,3,1,100944.00,302832.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,3,1,105732.00,317196.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 16,3,9181,Investigator III - IPRA,Annual,4,1,110748.00,442992.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,3 0,0,1646,Attorney,Annual,1,1,70404.00,70404.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 13,1,1617,Paralegal II,Annual,1,1,52200.00,52200.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,875,Senior Legal Personal Computer Operator,Annual,1,1,39516.00,39516.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 9,1,832,Personal Computer Operator II,Annual,1,1,45828.00,45828.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 9,1,665,Senior Data Entry Operator,Annual,1,1,41364.00,41364.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 9,1,665,Senior Data Entry Operator,Annual,1,1,45828.00,45828.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 9,1,665,Senior Data Entry Operator,Annual,1,1,55212.00,55212.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,BX 17,10,634,Data Services Administrator,Annual,1,1,73020.00,73020.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 8,1,430,Clerk III,Annual,1,1,45828.00,45828.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 8,1,430,Clerk III,Annual,2,1,35976.00,71952.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,422,Intake Aide,Annual,1,1,43320.00,43320.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,422,Intake Aide,Annual,1,1,45372.00,45372.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,422,Intake Aide,Annual,1,1,63456.00,63456.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,422,Intake Aide,Annual,2,1,55212.00,110424.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,B 10,1,422,Intake Aide,Annual,3,1,57828.00,173484.00
LOCAL,56,IPRA,100,CORPORATE FUND,1005,2005,IPRA,3010,Investigations,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,48560.00,48560.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3004,Office of the Superintendent,0,,1 0,9,9957,Superintendent of Police,Annual,1,1,260004.00,260004.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3004,Office of the Superintendent,0,,1 0,99,9011,Superintendent's Chief of Staff,Annual,1,1,185004.00,185004.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3004,Office of the Superintendent,0,,BX 13,20,308,Staff Assistant,Annual,1,1,67224.00,67224.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3005,Departmental Administration,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3007,Office of Legal Affairs,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,3 0,99,9785,Chief,Annual,1,1,185004.00,185004.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,E 4,73,9173,Lieutenant,Annual,1,1,115644.00,115644.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,E 3,71,9171,Sergeant,Annual,1,1,102978.00,102978.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,D 1,91,9161,Police Officer,Annual,1,1,78012.00,78012.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,D 1,91,9161,Police Officer,Annual,1,1,80724.00,80724.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4016,Office of Crime Control Strategies,3 0,10,1140,Chief Operations Analyst,Annual,1,1,95832.00,95832.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,3 0,99,9752,Commander,Annual,1,1,154932.00,154932.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,E 4,73,9173,Lieutenant,Annual,1,1,112206.00,112206.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,E 3,71,9171,Sergeant,Annual,1,1,93708.00,93708.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2012,PATROL SERVICES,3286,Patrol Services,4319,District Law Enforcement,4 0,0,9106,Police Cadet,Hourly,0,0,9.00,702000.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,E 3,71,9171,Sergeant,Annual,1,1,96648.00,96648.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,E 3,71,9171,Sergeant,Annual,2,1,99756.00,199512.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,E 3,71,9171,Sergeant,Annual,3,1,102978.00,308934.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,84396.00,84396.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,87372.00,87372.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,90540.00,90540.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,93192.00,93192.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 1,91,9161,Police Officer,Annual,6,1,75372.00,452232.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 1,91,9161,Police Officer,Annual,7,1,83706.00,585942.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 1,91,9161,Police Officer,Annual,8,1,80724.00,645792.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,D 1,91,9161,Police Officer,Annual,19,1,78012.00,1482228.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,BX 15,20,305,Assistant to the Director,Annual,1,1,77280.00,77280.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3008,Office of Crime Control Strategies,4017,Deployment Operations Section,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,14903.00,14903.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3012,Office of International Relations,0,,3 0,99,9796,Deputy Chief,Annual,1,1,162012.00,162012.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3012,Office of International Relations,0,,3 0,99,9785,Chief,Annual,1,1,176532.00,176532.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3012,Office of International Relations,0,,E 3,71,9171,Sergeant,Annual,1,1,99756.00,99756.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3012,Office of International Relations,0,,D 1,91,9161,Police Officer,Annual,1,1,80724.00,80724.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3012,Office of International Relations,0,,D 1,91,9161,Police Officer,Annual,2,1,78012.00,156024.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,1 0,9,9758,Assistant General Counsel,Annual,1,1,129096.00,129096.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,3 0,99,9756,General Counsel,Annual,1,1,162012.00,162012.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,D 1,91,9161,Police Officer,Annual,1,1,75372.00,75372.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,E 4,71,9016,Police Legal Officer II,Annual,4,1,108900.00,435600.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,D 3,91,9015,Police Legal Officer I,Annual,1,1,93708.00,93708.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,D 3,91,9015,Police Legal Officer I,Annual,1,1,99756.00,99756.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,D 3,91,9015,Police Legal Officer I,Annual,2,1,96648.00,193296.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,B 13,1,1617,Paralegal II,Annual,1,1,69648.00,69648.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,B 13,1,1617,Paralegal II,Annual,1,1,72936.00,72936.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,3 0,0,1430,Policy Analyst,Annual,1,1,118080.00,118080.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,3 0,9,311,Projects Administrator,Annual,1,1,85020.00,85020.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,B 10,1,302,Administrative Assistant II,Annual,2,1,57828.00,115656.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4030,Office of the General Counsel,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,2527.00,2527.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,3 0,99,9780,Director of Management/Labor Affairs,Annual,1,1,154932.00,154932.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,E 4,73,9173,Lieutenant,Annual,1,1,112206.00,112206.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,E 3,71,9171,Sergeant,Annual,1,1,93708.00,93708.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,E 3,71,9171,Sergeant,Annual,1,1,99756.00,99756.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,E 3,71,9171,Sergeant,Annual,1,1,102978.00,102978.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,GY 7,10,1386,Labor Relation Specialist III,Annual,1,1,80256.00,80256.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3017,Office of the General Counsel,4031,Management and Labor Affairs Section,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,1337.00,1337.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3425,Office of Management and Labor Affairs,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,0.00,0.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3426,News Affairs,0,,3 0,9,9715,Director of News Affairs,Annual,1,1,112008.00,112008.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3426,News Affairs,0,,D 1,91,9161,Police Officer,Annual,1,1,80724.00,80724.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3426,News Affairs,0,,B 10,1,302,Administrative Assistant II,Annual,1,1,57828.00,57828.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3426,News Affairs,0,,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,2829.00,2829.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,3 0,99,9796,Deputy Chief,Annual,1,1,162012.00,162012.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,3 0,99,9785,Chief,Annual,1,1,176532.00,176532.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,3 0,99,9752,Commander,Annual,2,1,154932.00,309864.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2,91,9174,Police Agent,Annual,5,1,90540.00,452700.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2,91,9174,Police Agent,Annual,7,1,84756.00,593292.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2,91,9174,Police Agent,Annual,9,1,87918.00,791262.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 4,73,9173,Lieutenant,Annual,2,1,108900.00,217800.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 4,73,9173,Lieutenant,Annual,2,1,115644.00,231288.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 3,71,9171,Sergeant,Annual,1,1,106068.00,106068.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 3,71,9171,Sergeant,Annual,2,1,93708.00,187416.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 3,71,9171,Sergeant,Annual,8,1,102978.00,823824.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 3,71,9171,Sergeant,Annual,10,1,99756.00,997560.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 3,71,9171,Sergeant,Annual,11,1,96648.00,1063128.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,84396.00,84396.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,87372.00,87372.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,1,1,93192.00,93192.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2A,91,9165,Police Officer - Assigned as Detective,Annual,3,1,90540.00,271620.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 1,91,9161,Police Officer,Annual,3,1,86130.00,258390.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 1,91,9161,Police Officer,Annual,4,1,75372.00,301488.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 1,91,9161,Police Officer,Annual,6,1,78012.00,468072.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 1,91,9161,Police Officer,Annual,6,1,83706.00,502236.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 1,91,9161,Police Officer,Annual,12,1,80724.00,968688.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,D 2,91,9126,Police Technician,Annual,1,1,87918.00,87918.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,E 4,71,9016,Police Legal Officer II,Annual,1,1,115644.00,115644.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,B 9,1,832,Personal Computer Operator II,Annual,1,1,45828.00,45828.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,B 9,1,832,Personal Computer Operator II,Annual,1,1,52740.00,52740.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,B 9,1,665,Senior Data Entry Operator,Annual,2,1,57828.00,115656.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4040,Bureau of Internal Affairs,1 0,0,15,Schedule Salary Adjustments,Annual,0,0,27099.00,27099.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4041,Inspection Section,E 4,73,9173,Lieutenant,Annual,1,1,115644.00,115644.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4041,Inspection Section,E 4,73,9173,Lieutenant,Annual,2,1,112206.00,224412.00
LOCAL,57,DEPARTMENT OF POLICE,100,CORPORATE FUND,1005,2005,DEPARTMENT OF POLICE,3427,Bureau of Internal Affairs,4041,Inspection Section,E 3,71,9171,Sergeant,Annual,1,1,93708.00,93708.00
